census,house,townhouses/similar,units
1991,0.8101399524689729,0.10367705307631371,0.08166094533931872
1996,0.7800866374092009,0.1271564769975787,0.08982483353510896
2001,0.764,0.13,0.096
2006,0.75,0.135,0.113
2011,0.728,0.145,0.124
2016,0.67,0.177,0.15
